Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Meta Winner: 8 players,2.83193548387,0.720516129032258,38.0,1.0,0.7064086021505376,0.01410752688172044,0.10873118279569895,0.17075268817204303,0.966725204579,0.240898723293,0.0282230986603,0.0676469516483
1,Evolved HMM 5,2.82913978495,0.7949032258064516,30.0,1.0,0.748967741935484,0.045935483870967755,0.09563440860215049,0.10946236559139781,0.998879621505,0.386005912991,0.0443507726841,0.21026765595
2,EvolvedLookerUp2_2_2,2.8247311828,0.8261935483870968,28.0,1.0,0.762193548387097,0.06399999999999999,0.091505376344086,0.08230107526881718,0.92093644125,0.340861088598,0.511874923017,0.818557040461
3,NMWE Finite Memory: 86 players,2.82333333333,0.7253333333333334,40.0,1.0,0.7099569892473118,0.015376344086021516,0.10544086021505376,0.1692258064516129,0.966195820031,0.157713875681,0.0674379339299,0.0989631538169
4,Evolved ANN 5,2.82150537634,0.7924946236559139,27.0,1.0,0.7639139784946237,0.02858064516129031,0.08096774193548378,0.1265376344086021,0.972093877166,0.67503871216,0.250067634586,0
5,Evolved FSM 4,2.82139784946,0.837741935483871,24.0,1.0,0.7548172043010754,0.08292473118279567,0.0987741935483871,0.06348387096774194,0.950481634215,0.445347684438,0,0.777857306772
6,Nice Meta Winner Ensemble: 199 players,2.82096774194,0.7216344086021506,39.0,1.0,0.7073763440860215,0.014258064516129045,0.10505376344086022,0.1733118279569893,0.970301770442,0.210235311878,0.0508460841868,0.0830685903762
7,"Michaelos: (D,)",2.82032258065,0.7203870967741935,158.0,1.0,0.7098709677419358,0.01051612903225807,0.10367741935483848,0.1759354838709677,0.985923540104,0,0.173006306579,0
8,"DoubleCrosser: (D, D)",2.81956989247,0.7551612903225806,148.0,1.0,0.7276774193548387,0.02748387096774201,0.09664516129032255,0.14819354838709692,0.984587065349,0.765746213849,0.433704733091,0
9,PSO Gambler 2_2_2,2.81956989247,0.7759569892473118,32.0,1.0,0.716516129032258,0.05944086021505377,0.11161290322580646,0.11243010752688172,0.919026656025,0.350986485826,0.423428013028,0.394998999204
10,NMWE Deterministic: 137 players,2.81688172043,0.715741935483871,41.0,1.0,0.7032258064516129,0.012516129032258077,0.10653763440860216,0.1777204301075269,0.975821667856,0.153958614485,0.0497167791215,0.0875308676636
11,Evolved FSM 16,2.81677419355,0.8085806451612904,33.0,1.0,0.7333333333333334,0.07524731182795691,0.1064516129032258,0.08496774193548383,0.911645254478,0.521732169107,0.464727040698,0.381620653362
12,Evolved ANN,2.81580645161,0.8028602150537635,22.0,1.0,0.7710967741935484,0.03176344086021505,0.07623655913978489,0.12090322580645158,0.982874945103,0.757461207746,0.180637666522,0
13,Fool Me Once,2.81483870968,0.7415913978494624,36.0,1.0,0.7273118279569892,0.014279569892473126,0.09475268817204298,0.16365591397849466,1.0,0.538810726311,0,0
14,NMWE Memory One: 35 players,2.81451612903,0.7134408602150538,40.0,1.0,0.7028387096774193,0.010602150537634417,0.10423655913978495,0.1823225806451613,0.986747216395,0.210230286954,0.0193409398496,0.0805169503071
15,Grudger,2.81430107527,0.7114838709677419,41.0,1.0,0.704021505376344,0.007462365591397854,0.10339784946236559,0.1851182795698925,1.0,0,0,0
16,Nice Meta Winner: 199 players,2.81290322581,0.7130322580645161,41.0,1.0,0.7056129032258065,0.007419354838709682,0.10277419354838706,0.1841935483870968,1.0,0,0,0
17,NMWE Long Memory: 113 players,2.81247311828,0.7208387096774194,39.0,1.0,0.7050752688172043,0.015763440860215062,0.10492473118279573,0.17423655913978495,0.969368429455,0.267267164638,0.0583800263132,0.0741021516817
18,"BackStabber: (D, D)",2.81053763441,0.7437204301075269,153.0,1.0,0.7178279569892472,0.025892473118279632,0.10004301075268804,0.15623655913978504,0.985266201983,0.776225714645,0,0
19,NMWE Stochastic: 62 players,2.80967741935,0.7246236559139785,38.0,1.0,0.706774193548387,0.017849462365591415,0.10354838709677419,0.17182795698924738,0.945652980063,0.307758705809,0.0496082761735,0.133626044787
20,"EugineNier: (D,)",2.80935483871,0.7448172043010752,156.0,1.0,0.7269247311827959,0.01789247311827958,0.09286021505376318,0.1623225806451613,0.985689487924,0,0.440082262736,0
21,MEM2,2.80892473118,0.7196129032258064,37.0,1.0,0.7100215053763441,0.009591397849462375,0.1001935483870968,0.1801935483870968,0.996754301171,0.273229394063,0.337092581534,0
22,PSO Gambler Mem1,2.80634408602,0.7916559139784947,30.0,1.0,0.7496559139784945,0.042,0.08376344086021506,0.12458064516129033,1.0,0.511670027265,0,0.135678870958
23,PSO Gambler 1_1_1,2.80602150538,0.7651397849462366,33.0,1.0,0.7336129032258064,0.03152688172043012,0.09352688172043012,0.14133333333333337,1.0,0.207645566765,0,0.14536774448
24,Evolved FSM 16 Noise 05,2.80333333333,0.7954193548387096,22.0,1.0,0.7704731182795701,0.024946236559139776,0.0713978494623655,0.1331827956989247,0.985471830845,0.596089215109,0.470299925621,0.0819546144113
25,Spiteful Tit For Tat,2.79731182796,0.760494623655914,25.0,1.0,0.7336129032258064,0.026881720430107493,0.08800000000000001,0.15150537634408606,1.0,0,0.740778438126,0
26,Forgiver,2.79483870968,0.7462365591397849,36.0,1.0,0.7336989247311828,0.01253763440860216,0.08421505376344084,0.16954838709677422,1.0,0.645050782551,0.054087723756,0
27,EvolvedLookerUp1_1_1,2.79311827957,0.713763440860215,40.0,1.0,0.704516129032258,0.009247311827956994,0.09873118279569888,0.187505376344086,0.977916021572,0,0.611205484635,0
28,"Omega TFT: 3, 8",2.79010752688,0.7869247311827957,24.0,1.0,0.764494623655914,0.022430107526881723,0.07159139784946233,0.14148387096774193,0.999799975304,0.193020912198,0.561680262919,0.170196447446
29,Winner12,2.78720430108,0.7623440860215054,31.0,1.0,0.7309032258064516,0.031440860215053754,0.08911827956989249,0.1485376344086022,1.0,0.190671071391,0,0.488738394333
30,TF3,2.7823655914,0.7242795698924731,37.0,1.0,0.7083870967741935,0.015892473118279578,0.09479569892473115,0.18092473118279578,0.957160445568,0.591070330996,0.233188030802,0.0515603249531
31,"DBS: 0.75, 3, 4, 3, 5",2.77903225806,0.8173978494623656,18.0,1.0,0.7778494623655915,0.03954838709677418,0.06576344086021502,0.1168387096774193,0.989878393202,0.789122427392,0.342388256607,0.187708951552
32,Retaliate 2: 0.08,2.77784946237,0.7404301075268818,41.0,1.0,0.7292903225806452,0.01113978494623657,0.08232258064516128,0.17724731182795705,1.0,0,0.062007458716,0
33,"Limited Retaliate 3: 0.05, 20",2.77720430108,0.7352043010752688,38.0,1.0,0.7185161290322579,0.016688172043010766,0.08995698924731181,0.17483870967741932,0.969479040787,0,0.0564389316306,0.0498157341771
34,Retaliate 3: 0.05,2.77548387097,0.725010752688172,41.0,1.0,0.7151182795698924,0.009892473118279576,0.08847311827956987,0.18651612903225814,1.0,0,0.0386406954703,0
35,GraaskampKatzen,2.77258064516,0.7773333333333333,29.0,1.0,0.7513333333333334,0.025999999999999995,0.07318279569892472,0.14948387096774202,0.994698779063,0,0.59092112377,0
36,PSO Gambler 2_2_2 Noise 05,2.77075268817,0.8106021505376344,22.0,1.0,0.7736129032258067,0.03698924731182793,0.06501075268817201,0.1243870967741935,0.923396252839,0.447509519286,0.698917132347,0.281779277437
37,"Limited Retaliate 2: 0.08, 15",2.76677419355,0.744494623655914,39.0,1.0,0.7242795698924732,0.020215053763440884,0.08466666666666667,0.17083870967741935,0.979184561317,0,0.0811248273099,0.0642835483398
38,Retaliate: 0.1,2.76494623656,0.7409462365591398,41.0,1.0,0.7279569892473118,0.012989247311827967,0.07948387096774195,0.17956989247311833,1.0,0,0.0853840979015,0
