Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Winner12,2.79611111111,0.5738888888888889,7.5,1.0,0.5033333333333334,0.07055555555555557,0.21500000000000002,0.21111111111111114,1.0,0.0651260504202,0,0.531018518519
1,Retaliate 3: 0.05,2.78333333333,0.47944444444444445,9.0,1.0,0.4616666666666666,0.017777777777777778,0.21944444444444447,0.30111111111111116,1.0,0,0.038038434773,0
2,Win-Stay Lose-Shift: C,2.71166666667,0.6827777777777778,5.0,1.0,0.5477777777777777,0.13499999999999998,0.18777777777777777,0.12944444444444445,1.0,0,0,1.0
3,Evolved ANN,2.62944444444,0.6227777777777778,5.0,1.0,0.5677777777777777,0.05500000000000001,0.13722222222222222,0.23999999999999996,0.942592592593,0.777875457875,0.276660839161,0
4,Doubler,2.52722222222,0.7955555555555556,0.0,1.0,0.7150000000000001,0.08055555555555556,0.044444444444444446,0.16,1.0,0.655789781877,1.0,0
5,Meta Winner Finite Memory: 86 players,2.47,0.02,18.0,1.0,0.016666666666666666,0.003333333333333333,0.36,0.62,0,0,0,0
6,TF2,2.43166666667,0.22277777777777777,16.0,1.0,0.16555555555555554,0.05722222222222222,0.2894444444444445,0.48777777777777787,0.363855438828,0,0.515926639684,0.141681199056
7,Dynamic Two Tits For Tat,2.39555555556,0.8133333333333334,0.5,1.0,0.6777777777777777,0.1355555555555556,0.043888888888888894,0.14277777777777778,0.966017416194,0.564576115537,0.686636852426,0.488516621191
8,Knowledgeable Worse and Worse,2.35666666667,0.4905555555555556,10.0,0.972222222222,0.29500000000000004,0.19555555555555557,0.2405555555555556,0.2688888888888889,0.707499284876,0.539021074123,0.464909195011,0.314150505492
9,Adaptive,2.355,0.35833333333333334,11.5,1.0,0.18222222222222223,0.1761111111111111,0.2916666666666667,0.3500000000000001,0.879921367404,0.901984126984,0.333333333333,0.3
10,Champion,2.34388888889,0.8338888888888889,0.0,1.0,0.6866666666666668,0.14722222222222225,0.029444444444444454,0.13666666666666666,1.0,0.660885823514,1.0,0.263400974026
11,Sneaky Tit For Tat,2.27277777778,0.6505555555555556,6.0,1.0,0.42111111111111105,0.22944444444444445,0.16499999999999998,0.18444444444444444,0.845423629366,0.513478113253,0.690989838049,0.627883597884
12,SelfSteem,2.22888888889,0.5138888888888888,8.5,0.444444444444,0.3238888888888889,0.19000000000000003,0.19277777777777777,0.2933333333333333,0.724920736103,0.395699049084,0.612476474892,0.303181702322
13,Random: 0.5,2.22166666667,0.4961111111111111,9.5,0.472222222222,0.2444444444444444,0.25166666666666665,0.24611111111111109,0.25777777777777783,0.507275554472,0.505929637654,0.474173533888,0.512639255188
14,Ripoff,2.20444444444,0.5294444444444445,4.5,0.0,0.41055555555555556,0.11888888888888889,0.12555555555555556,0.345,0.9753201945,0.445198474126,1.0,0.0827862811791
15,Random: 0.7,2.15833333333,0.7105555555555556,4.5,0.777777777778,0.4044444444444444,0.3061111111111111,0.16388888888888886,0.12555555555555556,0.677039226145,0.712654464385,0.69449356094,0.762330485892
16,Random: 0.9,2.11166666667,0.9005555555555556,5.5,0.972222222222,0.5922222222222222,0.3083333333333334,0.05888888888888891,0.04055555555555555,0.900479429991,0.880448914832,0.905392156863,0.904304029304
17,$\phi$,1.98555555556,0.6761111111111111,5.5,1.0,0.23166666666666666,0.4444444444444444,0.2416666666666667,0.08222222222222222,0.434830743732,1.0,0.32087636182,1.0
18,Alternator Hunter,1.91333333333,0.9511111111111111,0.0,1.0,0.62,0.3311111111111112,0.0011111111111111113,0.04777777777777779,0.981481481481,1.0,0,0
