Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,Evolved ANN 5 Noise 05,2.37780748663,0.5447219251336899,66.0,0.954010695187,0.45003743315508027,0.09468449197860966,0.14358288770053476,0.31169518716577527,0.865745171359,0.760046674999,0.471964211234,0.341224431079
1,"DBS: 0.75, 3, 4, 3, 5",2.36660427807,0.417283422459893,99.0,0.95614973262,0.33241711229946513,0.0848663101604278,0.19592513368983974,0.38679144385026737,0.835128899059,0.498848649762,0.299606692645,0.277129860368
2,Evolved FSM 16 Noise 05,2.32772727273,0.4581818181818182,80.0,0.946524064171,0.3561657754010696,0.10201604278074873,0.17587700534759346,0.36594117647058816,0.876764094623,0.493147277831,0.444204024732,0.0985063653355
3,RichardHufford,2.2956684492,0.4020855614973262,91.0,0.952941176471,0.2973208556149733,0.10476470588235297,0.20394117647058813,0.3939732620320856,0.841350577476,0.159592559021,0.69492297725,0.0899805789967
4,Level Punisher,2.28826203209,0.4818342245989305,87.0,0.944385026738,0.40680213903743306,0.0750320855614973,0.1347593582887701,0.3834064171122995,0.863552654075,0.644152770305,0.385996464874,0.237174879827
5,Mikkelson,2.28663101604,0.5675989304812834,69.0,0.932620320856,0.47734224598930486,0.09025668449197861,0.1042834224598931,0.32811764705882357,0.905521153141,0.676405555267,0.509496673667,0.387259569898
6,White,2.27114973262,0.6808716577540107,12.0,0.951871657754,0.5408395721925133,0.14003208556149735,0.08272192513368984,0.23640641711229948,0.94825054789,0.628342101147,0.949938202506,0.403313446534
7,"DoubleCrosser: (D, D)",2.23780748663,0.38781283422459895,108.0,0.957219251337,0.3084278074866311,0.07938502673796784,0.1755561497326204,0.43663101604278065,0.853059336764,0.519718982798,0.322523575403,0.0609455986292
8,"Grumpy: Nice, 10, -10",2.23502673797,0.7303689839572193,28.0,0.947593582888,0.5596417112299464,0.17072727272727276,0.07054545454545454,0.1990855614973262,0.920015408562,0.881289536603,0.642507002668,0.576212322359
9,Borufsen,2.23320855615,0.5261711229946524,78.0,0.945454545455,0.400673796791444,0.12549732620320855,0.13937967914438498,0.33444919786096244,0.910952223913,0.127698546726,0.666760953647,0.155035543896
10,"Omega TFT: 3, 8",2.23064171123,0.38382887700534757,128.0,0.95614973262,0.31402673796791447,0.06980213903743315,0.1676631016042781,0.44850802139037416,0.854991990634,0.111122792644,0.477277466088,0.0687660458302
11,Cave,2.23045454545,0.5331657754010695,74.0,0.946524064171,0.42390374331550806,0.10926203208556143,0.1222887700534759,0.34454545454545465,0.911619724781,0.324912803317,0.60947815247,0.167853611806
12,Yamachi,2.22965240642,0.607909090909091,49.0,0.943315508021,0.4940267379679144,0.11388235294117645,0.08991443850267376,0.3021764705882353,0.863929643267,0.660996181527,0.589535426791,0.443694863653
13,Tranquilizer,2.22545454545,0.5703048128342246,48.0,0.955080213904,0.43022994652406416,0.1400748663101604,0.12554010695187162,0.3041550802139038,0.864974055238,0.440634989637,0.875755094448,0.385068127729
14,"Stalker: (D,)",2.22532085561,0.5933957219251337,45.0,0.954010695187,0.45635294117647046,0.1370427807486632,0.11043315508021392,0.29617112299465237,0.8996383833,0.720373014726,0.482777495996,0.294453087254
15,Doubler,2.22427807487,0.654139037433155,21.0,0.945454545455,0.510572192513369,0.143566844919786,0.0855561497326203,0.26030481283422463,0.949777921138,0.560087829029,0.948222559235,0.323259994008
16,Soft Go By Majority: 20,2.2177540107,0.6258395721925134,48.0,0.949732620321,0.5062085561497326,0.1196310160427808,0.07816577540106946,0.2959946524064172,0.91466221197,0.736024586015,0.569056327084,0.397974799811
17,VeryBad,2.20679144385,0.6734973262032086,39.0,0.951871657754,0.5322459893048129,0.1412513368983957,0.07110695187165769,0.2553957219251337,0.912428396748,0.783326844756,0.619733941983,0.47092901937
18,Soft Go By Majority: 10,2.20639037433,0.6220320855614974,48.0,0.946524064171,0.5057914438502675,0.11624064171122986,0.07664171122994651,0.30132620320855613,0.921247470151,0.703093961424,0.575842539774,0.41691603915
19,Soft Go By Majority,2.20556149733,0.6786791443850267,36.0,0.961497326203,0.5324331550802137,0.14624598930481286,0.07067914438502673,0.2506417112299466,0.91228977418,0.794137972897,0.616510088986,0.473486180076
