Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
0,EvolvedLookerUp2_2_2,2.83759358289,0.8126737967914438,26.0,1.0,0.748229946524064,0.0644438502673797,0.10098395721925141,0.08634224598930484,0.900819035482,0.332167340207,0.4819666773,0.835925127719
1,Evolved ANN 5,2.83256684492,0.7343743315508021,33.0,1.0,0.723,0.011374331550802134,0.09907486631016041,0.16655080213903745,0.971219576795,0.667275025006,0.148906650418,0
2,PSO Gambler 2_2_2,2.83045454545,0.7465454545454545,32.0,1.0,0.6854278074866308,0.06111764705882351,0.12991443850267387,0.12354010695187176,0.886181935229,0.252230794651,0.451138357625,0.413074633984
3,Evolved HMM 5,2.82553475936,0.7807593582887701,30.0,1.0,0.7346363636363635,0.0461229946524064,0.10063636363636363,0.1186042780748663,0.998698154963,0.419138982532,0.0319711952516,0.20219930594
4,Evolved FSM 4,2.81943850267,0.8288716577540107,24.0,1.0,0.7417914438502674,0.08708021390374328,0.10534224598930482,0.06578609625668451,0.947074496441,0.435161012462,0,0.769449023565
5,PSO Gambler Mem1,2.80874331551,0.7719679144385027,31.0,1.0,0.7359839572192513,0.03598395721925134,0.09144919786096259,0.13658288770053484,1.0,0.514472580776,0,0.130691342879
6,Evolved ANN,2.80727272727,0.7355187165775401,30.0,1.0,0.7227914438502674,0.012727272727272717,0.09427807486631017,0.1702032085561498,0.982641388915,0.751225063301,0.202914064721,0
7,Meta Winner: 8 players,2.80631016043,0.6785882352941176,41.0,1.0,0.6749572192513368,0.003631016042780751,0.11533689839572195,0.20607486631016048,0.96789378183,0.268308751086,0.0175504692227,0.0228623041789
8,PSO Gambler 1_1_1,2.79406417112,0.7398449197860962,34.0,1.0,0.7112727272727273,0.02857219251336898,0.09935294117647059,0.16080213903743315,1.0,0.187845870662,0,0.14560296079
9,Evolved FSM 16,2.79385026738,0.7798181818181819,35.0,1.0,0.7021069518716576,0.07771122994652406,0.11695721925133687,0.1032245989304813,0.883737271018,0.539479727722,0.380280090935,0.385610699649
10,Nice Meta Winner Ensemble: 200 players,2.79082887701,0.6805989304812834,40.0,1.0,0.6752352941176469,0.005363636363636367,0.11156684491978609,0.20783422459893053,0.962167667491,0.186080057953,0.0471746984608,0.0588965232828
11,"Michaelos: (D,)",2.78951871658,0.6902459893048128,38.0,1.0,0.6874545454545455,0.002791443850267381,0.10410695187165774,0.20564705882352943,1.0,0,0.172478544817,0
12,NMWE Finite Memory: 86 players,2.78868983957,0.6824010695187166,41.0,1.0,0.6763048128342246,0.0060962566844919765,0.11075401069518717,0.2068449197860962,0.959631616488,0.137700046774,0.0570333465723,0.0577414435319
13,NMWE Long Memory: 114 players,2.7878342246,0.6791978609625668,39.0,1.0,0.6744438502673797,0.004754010695187169,0.11028877005347595,0.21051336898395717,0.959675708994,0.196996232291,0.0334562959279,0.058063399562
14,"DBS: 0.75, 3, 4, 3, 5",2.78754010695,0.7729304812834225,22.0,1.0,0.7492566844919785,0.02367379679144384,0.07757219251336901,0.14949732620320863,0.988911394985,0.751478489821,0.324924265639,0.116555869282
15,MEM2,2.78740641711,0.6819037433155081,41.0,1.0,0.6796791443850267,0.0022245989304812844,0.10735294117647058,0.21074331550802142,0.996493300135,0.21587816945,0.216236903972,0
16,Evolved FSM 16 Noise 05,2.78534759358,0.767903743315508,27.0,1.0,0.7498502673796791,0.018053475935828872,0.07658823529411768,0.1555080213903743,0.986697114162,0.59862452111,0.402131714931,0.0425561257302
17,NMWE Deterministic: 138 players,2.78497326203,0.6777914438502673,40.0,1.0,0.6737807486631016,0.004010695187165779,0.11033155080213912,0.21187700534759354,0.971115526844,0.144562250469,0.0673156266725,0.0475553384907
18,NMWE Stochastic: 62 players,2.7836631016,0.6868663101604278,38.0,1.0,0.6764171122994652,0.01044919786096256,0.11068449197860962,0.20244919786096258,0.906675833466,0.183148262879,0.06293901326,0.085587027861
19,Fool Me Once,2.78221925134,0.6873582887700534,39.0,1.0,0.6840160427807486,0.003342245989304816,0.10435828877005354,0.2082834224598931,1.0,0.507936507937,0,0
20,NMWE Memory One: 35 players,2.78173796791,0.6780320855614973,41.0,1.0,0.6743850267379679,0.0036470588235294143,0.1094010695187166,0.2125668449197861,0.986147004947,0.117085025337,0.0155110035038,0.0324644590246
21,"EugineNier: (D,)",2.78144385027,0.7099358288770053,35.0,1.0,0.7052085561497324,0.004727272727272729,0.094524064171123,0.19554010695187168,1.0,0,0.367774737485,0
22,Nice Meta Winner: 200 players,2.77826203209,0.6742513368983957,43.0,1.0,0.6725561497326201,0.001695187165775402,0.10870588235294115,0.21704278074866312,1.0,0,0,0
23,Grudger,2.77794117647,0.675385026737968,42.0,1.0,0.6736898395721924,0.0016951871657754022,0.10810160427807486,0.2165133689839573,1.0,0,0,0
24,"DoubleCrosser: (D, D)",2.77737967914,0.7323315508021391,30.0,1.0,0.7184973262032087,0.013834224598930482,0.08882887700534761,0.1788395721925133,0.999750564898,0.771939922007,0.39388296588,0
25,GraaskampKatzen,2.77542780749,0.7175454545454546,32.0,1.0,0.7103101604278074,0.007235294117647052,0.09098395721925136,0.19147058823529411,0.995532419979,0,0.443140399254,0
26,"Omega TFT: 3, 8",2.77467914439,0.7488021390374332,26.0,1.0,0.7392887700534759,0.009513368983957216,0.07656684491978612,0.17463101604278075,0.99996890934,0.176874482895,0.49991860128,0.0600642773153
27,Spiteful Tit For Tat,2.77446524064,0.7298770053475936,28.0,1.0,0.7117379679144384,0.018139037433155064,0.09105347593582891,0.17906951871657753,1.0,0,0.678913293851,0
28,Evolved ANN 5 Noise 05,2.77235294118,0.7963101604278074,21.0,1.0,0.7664545454545454,0.029855614973262046,0.0674919786096257,0.1361978609625668,0.988654517117,0.9165012938,0.276865956221,0.153184254349
29,Meta Hunter: 6 players,2.76374331551,0.73475935828877,33.0,1.0,0.7037540106951872,0.031005347593582897,0.0972673796791444,0.16797326203208562,0.935908017657,0.737830693171,0.20199505155,0.128746394821
30,EvolvedLookerUp1_1_1,2.7636631016,0.684283422459893,41.0,1.0,0.6795935828877004,0.004689839572192516,0.1022192513368984,0.21349732620320866,0.980108018656,0,0.749182492277,0
31,"BackStabber: (D, D)",2.76200534759,0.6988609625668449,37.0,1.0,0.6921925133689838,0.006668449197860965,0.09613368983957216,0.20500534759358294,1.0,0.7578125,0,0
32,TF3,2.76155080214,0.68124064171123,39.0,1.0,0.6765347593582888,0.0047058823529411795,0.10277005347593582,0.2159893048128342,0.958668299155,0.565439248252,0.210668258323,0.035940705783
33,Gradual,2.7542513369,0.8093636363636364,26.0,1.0,0.7711871657754008,0.038176470588235284,0.06224064171122997,0.1283957219251337,1.0,0.388828388163,0.237530551431,0.214134067365
34,Winner12,2.75379679144,0.732620320855615,34.0,1.0,0.7069465240641712,0.02567379679144384,0.0903636363636364,0.17701604278074862,1.0,0.152676290801,0,0.410413142326
35,Math Constant Hunter,2.75227272727,0.7889411764705883,26.0,1.0,0.7246417112299465,0.06429946524064169,0.09212299465240642,0.1189358288770054,0.924219200745,0.776614646263,0.123713912692,0.242514017622
36,Davis: 10,2.74548128342,0.6844705882352942,37.0,1.0,0.6766310160427808,0.00783957219251337,0.10014973262032084,0.2153796791443851,0.983119599674,0.823110825258,0,0
37,PSO Gambler 2_2_2 Noise 05,2.74510695187,0.7810641711229946,24.0,1.0,0.7533903743315508,0.027673796791443835,0.06685026737967911,0.15208556149732613,0.905487002982,0.461220786226,0.733507128334,0.276745496801
